0,4,-1,-6,-2,-31,-5
1,3,-1,-5,0,-11,16
1,3,0,-5,-1,-5,47
1,2,0,-1,-1,2,43
1,1,-1,2,3,16,47
1,1,0,2,2,17,46
1,1,1,2,2,15,47
1,1,1,5,6,26,48
2,0,2,6,11,27,47
1,1,2,5,13,31,51
0,1,3,6,13,35,51
-1,1,2,6,11,31,50
-1,2,1,6,11,27,48
-1,2,3,7,14,28,50
2,2,3,7,12,31,53
1,1,2,5,15,34,39
-1,2,2,7,15,33,45
0,1,1,5,12,31,47
0,2,3,8,16,36,57
-1,3,2,5,12,36,50
-1,1,2,6,11,32,56
1,1,3,7,14,34,46
2,1,1,4,10,26,50
-1,2,3,7,14,37,49
0,0,2,5,11,32,49
2,2,3,5,13,34,53
0,1,2,7,13,34,44
-1,1,2,5,10,32,52
1,2,3,5,12,27,46
2,1,2,6,16,30,47
0,1,3,5,13,33,42
-1,1,2,5,14,33,40
1,1,1,5,14,30,56
0,0,3,6,16,31,49
0,1,4,6,14,33,47
0,1,2,8,12,30,37
-1,1,3,6,15,40,52
0,2,3,6,13,31,44
-1,1,2,5,12,30,46
2,2,3,6,13,27,44
0,1,2,6,13,24,41
-3,2,3,8,12,31,50
1,1,2,7,15,32,43
0,0,1,5,12,32,52
-1,2,2,7,13,31,56
0,1,2,6,11,30,48
1,2,2,7,9,33,53
0,3,2,5,10,31,51
-2,1,3,6,14,39,41
2,2,2,7,12,34,49
-1,0,3,6,16,30,50
-1,1,2,5,13,34,50
0,2,2,3,10,27,42
2,1,2,6,12,34,55
0,2,2,7,14,33,44
-2,2,1,4,15,34,52
2,1,2,5,14,35,48
1,1,2,8,15,32,54
0,1,1,5,12,31,48
0,0,2,5,11,24,50
0,1,3,6,13,28,51
0,1,2,6,15,34,46
-3,2,2,8,17,33,51
2,1,3,6,15,33,52
0,1,2,6,16,34,51
-1,3,3,7,12,28,45
0,0,2,3,13,31,55
2,2,4,4,14,32,62
-1,2,3,9,13,32,47
-2,1,3,6,12,30,51
2,0,3,5,12,34,49
1,2,2,7,14,33,49
0,2,2,6,14,31,49
-2,2,2,6,12,34,45
1,0,4,5,13,31,56
-1,2,2,6,17,27,51
-2,1,1,7,13,33,53
2,2,1,5,15,34,51
0,1,3,7,14,28,43
-1,0,2,6,15,34,46
1,2,2,6,13,26,46
1,2,2,5,11,26,50
-2,1,3,5,14,29,47
-1,1,3,7,13,35,47
2,1,2,6,14,29,49
2,1,2,5,14,31,49
-3,1,3,6,13,28,49
-1,1,3,6,14,32,43
2,0,2,5,15,32,54
-1,1,2,7,13,33,42
0,0,4,7,15,29,47
1,2,3,6,12,31,44
1,2,2,6,12,33,48
0,1,2,7,14,34,52
0,2,2,4,14,35,51
1,2,0,5,12,32,44
0,1,1,6,15,28,56
-1,0,2,6,11,35,53
3,0,3,7,13,34,56
1,1,3,7,14,34,49
-3,0,3,5,12,34,61
-1,1,2,8,14,30,58
1,1,1,6,11,34,-25
-2,1,2,5,11,32,-3
0,1,3,5,17,37,-3
1,2,2,5,14,35,60
0,1,2,6,14,35,61
0,0,3,7,11,27,-171
0,0,3,7,14,32,57
0,1,2,5,14,34,-143
-1,0,3,6,17,32,55
2,2,2,6,13,33,9
-1,1,3,5,11,30,55
-3,1,2,5,15,30,33
2,0,2,5,13,31,-8
0,1,2,5,16,35,34
-2,1,2,5,12,28,73
1,1,3,7,12,35,31
0,1,3,5,13,36,17
0,1,1,5,10,28,61