53,80,103,139,244,286,191,
53,72,92,120,206,240,138,
54,66,78,104,175,202,122,
56,66,70,92,148,171,118,
55,65,62,81,127,145,126,
52,60,57,69,112,124,144,
50,56,59,67,95,123,123,
48,56,62,68,86,130,147,
51,60,63,68,88,142,108,
51,61,60,62,90,131,119,
62,55,60,73,93,125,133,
62,59,58,74,81,138,123,
154,192,128,94,97,145,160,
280,571,554,1007,1013,1017,864,
218,476,462,855,863,868,593,
179,397,382,709,716,721,408,
114,331,318,586,593,597,283,
67,278,266,485,492,495,201,
44,233,223,402,410,410,146,
40,197,188,335,339,341,109,
49,168,159,280,286,284,121,
53,143,138,234,240,241,111,
52,121,119,197,203,200,131,
58,104,104,166,172,170,125,
58,94,88,144,145,145,130,
54,80,81,125,124,142,136,
54,71,72,108,106,135,143,
51,65,65,95,93,146,130,
50,60,62,83,82,126,121,
53,61,56,74,85,128,123,